code_interne;rubrique_canevas;libelle_snis;unite;ventilation_interne;dhis2_dataSet;dhis2_dataElement_uid_placeholder;dhis2_categoryCombo;dhis2_categoryOptionCombo_placeholder;periode_type;source_calcul;regle_agregation;controle_coherence
SNIS-MERE-002;SANTE_MERE;CPN 4e visite;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_MERE_CPN4;default;HllvX50cXC0;Monthly;visite_cpn (numero_visite >= 4);somme;CTL-006
SNIS-MERE-003;SANTE_MERE;Accouchements assistés;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_MERE_ACC_ASSISTES;default;HllvX50cXC0;Monthly;travail_accouchement (assistance_qualifiee = vrai);somme;CTL-007 nouveau-nés vivants >= accouchements - mortinaissances
SNIS-MERE-004;SANTE_MERE;Décès maternels;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_MERE_DECES_MATERNELS;default;HllvX50cXC0;Monthly;deces_maternel_neonatal (type = MATERNEL);somme;CTL-008 tout décès maternel exige une fiche de revue
SNIS-MERE-005;SANTE_MERE;CPoN dans les 48 heures;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_MERE_CPON_48H;default;HllvX50cXC0;Monthly;visite_postnatale (jour_post_partum <= 2);somme;CTL-009 CPoN48 <= accouchements
SNIS-ENF-001;SANTE_ENFANT;Penta 3;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_PEV_PENTA3;default;HllvX50cXC0;Monthly;vaccination (antigene = PENTA3);somme;CTL-010 Penta3 <= Penta1 en cumul annuel
SNIS-ENF-002;SANTE_ENFANT;VAR 2;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_PEV_VAR2;default;HllvX50cXC0;Monthly;vaccination (antigene = VAR2);somme;CTL-011 VAR2 <= VAR1
SNIS-PF-001;PF;Nouvelles acceptantes PF;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_PF_NOUVELLES_ACCEPTANTES;CC_METHODE_PF;COC_{DIU|IMPLANT|INJECTABLE|PILULE|PRESERVATIF|MAMA};Monthly;suivi_pf (nouvelle_acceptante = vrai);somme;CTL-012 dispensation de contraceptifs cohérente avec les acceptantes
SNIS-NUT-001;NUTRITION;Admissions UNTA;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_NUT_UNTA_ADMISSIONS;default;HllvX50cXC0;Monthly;admission_nutrition (unite = UNTA);somme;CTL-013 sorties <= admissions + file active initiale
SNIS-NUT-002;NUTRITION;Guéris UNTA;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_NUT_UNTA_GUERIS;default;HllvX50cXC0;Monthly;admission_nutrition (issue = GUERI);somme;CTL-013
SNIS-LAB-001;LABO;Examens réalisés;nombre;TYPE_EXAMEN;DS_SNIS_CS_MENSUEL;DE_LAB_EXAMENS_REALISES;CC_TYPE_EXAMEN;COC_{GE|TDR|HB|GS|VIH|SYPHILIS|SELLES|URINES};Monthly;resultat_examen (valide = vrai);somme;CTL-014 examens réalisés <= examens demandés
SNIS-PHAR-001;PHARMACIE;Valeur du stock;CDF;aucune;DS_SIGL_FOSA_MENSUEL;DE_SIGL_VALEUR_STOCK;default;HllvX50cXC0;Monthly;stock x prix_achat_unitaire du lot;dernier du mois;CTL-015 valeur du stock cohérente avec les entrées et sorties
SNIS-FIN-001;FINANCES;Recettes du mois;CDF;SOURCE;DS_SNIS_CS_MENSUEL;DE_FIN_RECETTES;CC_SOURCE_FIN;COC_{TARIFICATION|MUTUELLE|FBP|SUBVENTION|AUTRE};Monthly;paiement non annulé, converti au taux du jour;somme;CTL-016 recettes = somme des sessions de caisse clôturées
SNIS-FIN-002;FINANCES;Dépenses du mois;CDF;RUBRIQUE;DS_SNIS_CS_MENSUEL;DE_FIN_DEPENSES;CC_RUBRIQUE_DEP;COC_{MEDICAMENTS|SALAIRES|FONCTIONNEMENT|INVESTISSEMENT};Monthly;depense validée;somme;CTL-017 dépenses <= recettes + solde initial
SNIS-FIN-003;FINANCES;Financement indirect;CDF;aucune;DS_SNIS_CS_MENSUEL;DE_FIN_INDIRECT;default;HllvX50cXC0;Monthly;saisie manuelle motivée (dons en nature, appuis);saisie;CTL-018 justification obligatoire si valeur > 0
SNIS-REF-001;REFERENCE;Malades référés;nombre;MOTIF;DS_SNIS_CS_MENSUEL;DE_REF_REFERES;CC_MOTIF_REF;COC_{OBSTETRICAL|CHIRURGICAL|MEDICAL|PEDIATRIQUE|EXAMEN};Monthly;reference (sens = SORTANTE);somme;CTL-019 contre-références <= références
SNIS-REF-002;REFERENCE;Contre-références reçues;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_REF_CONTRE_REFERENCES;default;HllvX50cXC0;Monthly;reference (contre_reference_recue = vrai);somme;CTL-019
SNIS-DECES-001;DECES;Décès au centre de santé;nombre;SEXE x AGE;DS_SNIS_CS_MENSUEL;DE_DECES_CS;CC_SEXE_AGE;COC_{M|F}_{tranche};Monthly;venue (issue = DECES);somme;CTL-020 décès <= cas reçus
SNIS-PERS-001;PERSONNEL;Jours de travail prestés;jours;QUALIFICATION;DS_SNIS_CS_MENSUEL;DE_PERS_JOURS_PRESTES;CC_QUALIFICATION;COC_{MEDECIN|INFIRMIER|SAGE_FEMME|LABORANTIN|AUTRE};Monthly;presence (present = vrai);somme;CTL-021 jours prestés <= effectif x jours ouvrables
SNIS-MAT-001;MATERIEL;Frigo fonctionnel;oui/non;aucune;DS_SNIS_CS_MENSUEL;DE_MAT_FRIGO_FONCTIONNEL;default;HllvX50cXC0;Monthly;equipement (categorie = CHAINE_FROID, etat = FONCTIONNEL);dernier du mois;CTL-022 si non fonctionnel, vérifier les pertes de vaccins
SNIS-MAT-002;MATERIEL;Microscope fonctionnel;oui/non;aucune;DS_SNIS_CS_MENSUEL;DE_MAT_MICROSCOPE_FONCTIONNEL;default;HllvX50cXC0;Monthly;equipement (categorie = LABO, etat = FONCTIONNEL);dernier du mois;CTL-023 si non fonctionnel, GE attendues = 0
