exigence;module;intitule_module;libelle_exigence;priorite;cas_de_test;livrables_couvrants;statut_recette;critere_ou_observation
EF-M04-01;M04;Consultation curative et dossier médical;Saisir une consultation structurée : plainte principale, anamnèse, antécédents, examen physique par appareil, hypothèses, diagnostic retenu codé CIM-10, diagnostics associés, conduite à tenir;Indispensable;CT-M04-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-02;M04;Consultation curative et dossier médical;Proposer des modèles de consultation par motif fréquent et la reprise des données de la venue précédente;Indispensable;CT-M04-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-03;M04;Consultation curative et dossier médical;Appliquer les ordinogrammes PCIME et protocoles nationaux avec suggestion de conduite, sans blocage du prescripteur;Indispensable;CT-M05-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-04;M04;Consultation curative et dossier médical;Gérer les actes réalisés en salle de soins : pansement, injection, suture, petite chirurgie, perfusion, transfusion, avec traçabilité du praticien et des consommables;Indispensable;CT-M04-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-05;M04;Consultation curative et dossier médical;Générer automatiquement le registre de consultation curative conforme, imprimable et exportable;Indispensable;CT-M04-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-06;M04;Consultation curative et dossier médical;Gérer les rendez-vous et la carte de rendez-vous, avec liste des rendez-vous manqués;Indispensable;CT-M04-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-07;M04;Consultation curative et dossier médical;Gérer la déclaration des maladies à notification obligatoire avec alerte immédiate et fiche de notification;Indispensable;CT-M04-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-08;M04;Consultation curative et dossier médical;Enregistrer les décès avec cause et groupe d'âge conformément au canevas SNIS, et produire le certificat de décès;Indispensable;CT-M04-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-09;M04;Consultation curative et dossier médical;Gérer la prise en charge des survivants de violences sexuelles avec confidentialité renforcée et accès restreint;Indispensable;CT-M04-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M04-10;M04;Consultation curative et dossier médical;Verrouiller une consultation validée : plus de modification silencieuse, seulement des addenda tracés;Indispensable;CT-M04-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M05-01;M05;Prescription et aide à la décision;Prescrire en DCI avec posologie structurée (dose, voie, fréquence, durée), calcul automatique de la quantité à dispenser;Indispensable;CT-M05-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M05-02;M05;Prescription et aide à la décision;Calculer les posologies pédiatriques au poids avec bornes de sécurité et alerte de dépassement;Indispensable;CT-M05-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M05-03;M05;Prescription et aide à la décision;Alerter sur allergie déclarée, contre-indication grossesse/allaitement, redondance thérapeutique et interactions majeures (base paramétrable);Souhaitable;CT-M05-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M05-04;M05;Prescription et aide à la décision;Afficher la disponibilité en stock et le coût prévisionnel au moment de la prescription, avec proposition d'équivalents disponibles;Indispensable;CT-M05-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M05-05;M05;Prescription et aide à la décision;Imprimer l'ordonnance et le bon d'analyses au format officiel, avec identification du prescripteur;Indispensable;CT-M05-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M05-06;M05;Prescription et aide à la décision;Gérer les protocoles pré-remplis (paludisme simple, IRA, diarrhée, TPI, déparasitage, vitamine A) en un clic;Indispensable;CT-M05-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M05-07;M05;Prescription et aide à la décision;Gérer les prescriptions au long cours et le renouvellement pour les maladies chroniques et les ARV;Souhaitable;CT-M05-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-01;M06;Laboratoire;Recevoir les demandes d'examens depuis la consultation, avec file d'attente laboratoire et priorité urgence;Indispensable;CT-M06-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-02;M06;Laboratoire;Gérer les examens du PMA : TDR paludisme, hémoglobine, test rapide VIH, selles fraîches, numération globulaire, test d'Emmel, sédiment urinaire, vitesse de sédimentation, bandelettes, examens colorimétriques, culot urinaire, ponction ganglionnaire;Indispensable;CT-M06-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-03;M06;Laboratoire;Saisir les résultats avec unités, valeurs de référence, interprétation automatique normal/anormal, résultats critiques signalés au prescripteur;Indispensable;CT-M06-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-04;M06;Laboratoire;Générer le registre de laboratoire, le registre de résultats et la fiche de rendu de résultat;Indispensable;CT-M06-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-05;M06;Laboratoire;Gérer le groupe sanguin, la carte de groupe sanguin, la fiche de compatibilité et le dossier de transfusion;Indispensable;CT-M06-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-06;M06;Laboratoire;Décrémenter automatiquement les réactifs et consommables consommés par examen;Indispensable;CT-M06-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-07;M06;Laboratoire;Suivre les températures d'équipements (réfrigérateur, chaîne du froid) via la fiche de surveillance de température, avec alerte hors plage;Indispensable;CT-M06-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M06-08;M06;Laboratoire;Suivre le contrôle de qualité interne et la traçabilité des lots de réactifs;Souhaitable;CT-M06-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M07-01;M07;Pharmacie et stock;Tenir une fiche de stock électronique par produit et par lot : entrées, sorties, pertes, ajustements d'inventaire, solde, avec désignation en DCI;Indispensable;CT-M07-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-02;M07;Pharmacie et stock;Calculer et afficher les quatre données essentielles : stock disponible utilisable (hors périmés et altérés), quantité consommée, pertes, nombre de jours de rupture de stock, plus stock initial et entrées du mois;Indispensable;"CT-M07-01 ; CT-M07-04";"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-03;M07;Pharmacie et stock;Gérer les lots, dates de péremption et sortie FEFO, avec blocage ou alerte forte en cas de sortie d'un lot périmé;Indispensable;"CT-M07-02 ; CT-M07-06";"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-04;M07;Pharmacie et stock;Calculer la consommation moyenne mensuelle (CMM), le stock de sécurité, le stock maximum, le point de commande et la quantité à commander selon la formule paramétrable;Indispensable;CT-M07-04;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-05;M07;Pharmacie et stock;Générer le bon de commande vers le BCZS/CDR selon le calendrier (mensuel, au plus tard le 5) et suivre les commandes en cours;Indispensable;CT-M07-04;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-06;M07;Pharmacie et stock;Réceptionner avec bon de livraison et procès-verbal de réception, contrôle des écarts quantité/qualité, enregistrement des lots;Indispensable;CT-M07-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-07;M07;Pharmacie et stock;Gérer les inventaires physiques périodiques : feuille de comptage, fiche d'inventaire, rapport d'inventaire, écarts et ajustements justifiés;Indispensable;CT-M07-05;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-08;M07;Pharmacie et stock;Gérer les produits hors d'usage : fiche/registre, motif (péremption, avarie, vol), procès-verbal de destruction;Indispensable;CT-M07-05;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-09;M07;Pharmacie et stock;Dispenser sur ordonnance interne, avec substitution tracée et refus pour rupture tracé;Indispensable;CT-M07-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-10;M07;Pharmacie et stock;Tenir le registre de consommation journalière et le RUMER (valeur du stock consommé, recettes du jour, versement au trésorier, date et visa de l'IT);Indispensable;CT-M07-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-11;M07;Pharmacie et stock;Gérer l'officine de vente au public, distincte du stock de service, avec marge paramétrable;Indispensable;CT-M07-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-12;M07;Pharmacie et stock;Gérer les intrants PEV séparément : vaccins, diluants, seringues, réceptacles, pétrole, avec suivi de la chaîne du froid;Indispensable;CT-M07-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-13;M07;Pharmacie et stock;Produire le rapport synthèse mensuel de gestion des médicaments de la FOSA et l'exporter vers le SIGL/InfoMED et DHIS2;Indispensable;CT-M07-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-14;M07;Pharmacie et stock;Alerter sur seuils : sous stock de sécurité, surstock, péremption à 3/6 mois, produit traceur en rupture;Indispensable;CT-M07-06;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-15;M07;Pharmacie et stock;Valoriser le stock (prix d'achat, valeur du stock) pour la rubrique « valeur de la pharmacie » du canevas SNIS;Indispensable;CT-M07-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M07-16;M07;Pharmacie et stock;Gérer les transferts entre structures ou entre dépôts avec fiche de transfert;Souhaitable;CT-M07-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M08-01;M08;Observation et lits;Gérer 2 lits d'observation (et plus si la structure est plus grande) : plan des lits, admission, sortie, transfert;Indispensable;CT-M08-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M08-02;M08;Observation et lits;Tenir le dossier infirmier : feuille de signes vitaux, feuille de température, feuille de traitement avec administration horodatée, feuille d'évolution/surveillance, plan de soins;Indispensable;CT-M08-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M08-03;M08;Observation et lits;Tenir le registre d'hospitalisation/observation avec date d'entrée, date de sortie, journées, diagnostic principal, condition de sortie;Indispensable;CT-M08-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M08-04;M08;Observation et lits;Gérer la mise en observation prolongée, la décision de référence, la sortie contre avis médical et le décès;Indispensable;CT-M08-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M08-05;M08;Observation et lits;Calculer automatiquement les journées d'hospitalisation, le taux d'occupation et la durée moyenne de séjour;Indispensable;CT-M08-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M08-06;M08;Observation et lits;Gérer le tour de salle (cahier TDS) et les consignes de garde;Souhaitable;CT-M08-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M09-01;M09;Maternité, CPN, CPoN et gratuité;Gérer la CPN recentrée : ouverture du dossier de grossesse, calcul du terme et de l'âge gestationnel, parité, gestité, antécédents obstétricaux, visites CPN 1 à 4+, examens, TPI, VAT, fer/acide folique, MILDA, dépistage VIH et syphilis;Indispensable;CT-M09-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-02;M09;Maternité, CPN, CPoN et gratuité;"Éditer la fiche CPN et la carte CPN de la gestante ; tenir le registre CPN avec identité, provenance, dates, grossesse, parité, examens, services reçus, issue de grossesse";Indispensable;CT-M09-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-03;M09;Maternité, CPN, CPoN et gratuité;Planifier et rappeler les rendez-vous CPN, identifier les gestantes en retard et les perdues de vue;Indispensable;CT-M09-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-04;M09;Maternité, CPN, CPoN et gratuité;Gérer le travail et l'accouchement : registre de travail, partogramme (dilatation, descente, contractions, rythme cardiaque fœtal, constantes), feuille de protocole d'accouchement;Indispensable;CT-M09-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-05;M09;Maternité, CPN, CPoN et gratuité;Enregistrer l'accouchement : date/heure, type (eutocique, dystocique, référé), lieu (FOSA, hors FOSA), assistance qualifiée, délivrance, pertes sanguines, complications, GATPA;Indispensable;CT-M09-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-06;M09;Maternité, CPN, CPoN et gratuité;Enregistrer le nouveau-né : sexe, poids, APGAR, vivant/mort-né, réanimation, soins essentiels, allaitement précoce, fiche de suivi du nouveau-né, certificat de naissance;Indispensable;CT-M09-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-07;M09;Maternité, CPN, CPoN et gratuité;Enregistrer les décès maternels et néonatals avec cause, et déclencher la fiche de revue des décès;Indispensable;CT-M09-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-08;M09;Maternité, CPN, CPoN et gratuité;Gérer la CPoN avec échéancier (J0-J2, J3-J7, J8-J42) et les consultations du post-partum;Indispensable;CT-M09-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-09;M09;Maternité, CPN, CPoN et gratuité;Appliquer automatiquement la gratuité de la maternité et des soins du nouveau-né : exonération du patient, valorisation de l'acte, constitution du dossier de remboursement et état de facturation au programme;Indispensable;CT-M09-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-10;M09;Maternité, CPN, CPoN et gratuité;Gérer les urgences obstétricales : décision, délai, référence vers l'HGR avec fiche de référence obstétricale;Indispensable;CT-M09-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M09-11;M09;Maternité, CPN, CPoN et gratuité;Gérer la PTME : registre PTME, femmes enceintes séropositives sous ARV, prophylaxie du nouveau-né, suivi de l'enfant exposé;Indispensable;CT-M09-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M10-01;M10;Santé de l'enfant, CPS et PEV;Gérer la consultation préscolaire : registre CPS, carte CPS, suivi de croissance avec courbes OMS (poids/âge, poids/taille, taille/âge, PB) et calcul des z-scores;Indispensable;CT-M10-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M10-02;M10;Santé de l'enfant, CPS et PEV;Gérer le calendrier vaccinal national complet, y compris les antigènes récents du canevas (VPI2, VAR2), avec doses, âges cibles, intervalles;Indispensable;CT-M10-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M10-03;M10;Santé de l'enfant, CPS et PEV;Enregistrer les vaccinations par antigène, dose, lot, date, stratégie (fixe, avancée, mobile), site, vaccinateur;Indispensable;CT-M10-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M10-04;M10;Santé de l'enfant, CPS et PEV;Calculer les enfants complètement vaccinés, les abandons (perdus de vue entre doses), les taux de couverture par antigène et par village;Indispensable;CT-M10-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M10-05;M10;Santé de l'enfant, CPS et PEV;Gérer les intrants PEV et la chaîne du froid : stock de vaccins et diluants, relevés de température deux fois par jour, alerte de rupture de chaîne, gestion des flacons ouverts;Indispensable;CT-M06-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M10-06;M10;Santé de l'enfant, CPS et PEV;Gérer les MAPI (manifestations post-vaccinales indésirables);Souhaitable;CT-M10-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M10-07;M10;Santé de l'enfant, CPS et PEV;Gérer les interventions associées : vitamine A, mébendazole, zinc, MILDA;Indispensable;CT-M10-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M10-08;M10;Santé de l'enfant, CPS et PEV;Produire les listes de rappel pour récupération par les RECO/CAC;Indispensable;CT-M10-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
